-3.0131,0.0118
-2.9493,0.1727
-2.87968,0.3228
-2.81006,0.473
-2.74043,0.6232
-2.66292,0.755
-2.58909,0.896
-2.51597,1.0387
-2.43901,1.1721
-2.36205,1.3056
-2.28509,1.439
-2.20574,1.5661
-2.12859,1.699
-2.05105,1.831
-1.97225,1.9596
-1.89325,2.0878
-1.81426,2.2159
-1.736,2.3459
-1.65795,2.4766
-1.58072,2.6093
-1.50296,2.7406
-1.42454,2.8703
-1.34681,3.0018
-1.26908,3.1332
-1.19081,3.2633
-1.11324,3.3951
-1.0377,3.5321
-0.96251,3.6699
-0.88628,3.8051
-0.80905,3.9379
-0.73307,4.0737
-0.65937,4.215
-0.58551,4.356
-0.51079,4.4949
-0.43716,4.6364
-0.36455,4.7802
-0.29207,4.9243
-0.21985,5.0689
-0.14733,5.2128
-0.07877,5.3651
-0.00783,5.5125
0.06234,5.6615
0.127,5.8206
0.19788,5.968
0.26449,6.124
0.33067,6.2809
0.39348,6.4437
0.45645,6.6063
0.52106,6.7659
0.584,6.9285
0.64515,7.0941
0.70286,7.265
0.76002,7.4368
0.81735,7.6083
0.87212,7.7834
0.92322,7.9633
0.97326,8.1446
1.0233,8.3259
1.07224,8.5084
1.1183,8.6942
1.16271,8.8818
1.20431,9.0722
1.24391,9.2644
1.28181,9.458
1.31533,9.6553
1.34615,9.8545
1.3724,10.0565
1.39511,10.2605
1.41875,10.464
1.43935,10.6687
1.45544,10.8754
1.46487,11.0838
1.46883,11.293
1.47119,11.5024
1.47139,11.7117
1.46164,11.9201
1.44603,12.1269
1.42263,12.3304
1.39857,12.5336
1.36777,12.7327
1.33077,12.9271
1.28615,13.1142
1.2384,13.2981
1.1857,13.4756