-3.55271e-15,0
0.047,0.01087
0.094,0.02174
0.141,0.03261
0.188,0.04348
0.235,0.05435
0.282,0.06521
0.329,0.07608
0.376,0.08695
0.423,0.09782
0.47,0.10869
0.509,0.11956
0.53,0.13043
0.645,0.1413
0.849,0.15216
1.221,0.16299
1.715,0.1738
2.577,0.18451
3.872,0.195
6.47,0.20406
10.923,0.20863
15.89,0.20991
20.905,0.20978
25.921,0.20978
30.937,0.20978
35.952,0.20978
40.968,0.20978
45.984,0.20978
50.999,0.20978
56.015,0.20978
61.031,0.20978
66.046,0.20978
71.062,0.20978
76.078,0.20978
81.093,0.20978
86.109,0.20978
91.125,0.20978
96.14,0.20978
101.156,0.20978
106.172,0.20978
111.187,0.20978
116.203,0.20978
121.219,0.20973
126.234,0.20967
131.25,0.20967
136.265,0.20971
141.281,0.20976
146.297,0.20978
151.312,0.20978
156.328,0.20978