-4.0095,0.0313
-3.9689,0.2812
-3.9158,0.5623
-3.8469,0.8083
-3.7655,1.0542
-3.6543,1.3782
-3.5791,1.5617
-3.3942,1.9754
-3.2437,2.2759
-3.0916,2.5529
-2.9348,2.826
-2.7106,3.1967
-2.5114,3.4815
-2.2793,3.856
-2.0487,4.1642
-1.7538,4.5737
-1.5043,4.9092
-1.2502,5.229
-0.949,5.619
-0.6854,5.9467
-0.29,6.4303
-0.0013,6.7734
0.2685,7.1323
0.5698,7.495
0.849,7.846
1.1126,8.1931
1.4107,8.5558
1.7369,9.0044
2.0632,9.4413
2.3456,9.847
2.7095,10.3931
2.9227,10.7677
3.1501,11.1384
3.3006,11.4193
3.4793,11.8057
3.6094,12.1023
3.7002,12.3443
3.813,12.6176
3.9022,12.9416
3.9475,13.1876
3.988,13.5313
3.9945,13.2813